,master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12,monthly_profitability,y_pred
0,cc294636-19f0-11eb-8d74-000d3a38a36f,Android App,Offline,2020-10-30,2021-02-26,2021-02-21,2021-02-26,4.0,1.0,139.99,799.38,[KADIN],236.82,210.29223533521701
1,f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,Android App,Mobile,2017-02-08,2021-02-16,2021-02-16,2020-01-10,19.0,2.0,159.97,1853.58,"[ERKEK, COCUK, KADIN, AKTIFSPOR]",41.12,38.56955775637796
2,69b69676-1a40-11ea-941b-000d3a38a36f,Android App,Android App,2019-11-27,2020-11-27,2020-11-27,2019-12-01,3.0,2.0,189.97,395.35,"[ERKEK, KADIN]",47.98,49.89763037938772
3,1854e56c-491f-11eb-806e-000d3a38a36f,Android App,Android App,2021-01-06,2021-01-17,2021-01-17,2021-01-06,1.0,1.0,39.99,81.98,"[AKTIFCOCUK, COCUK]",332.65,975.8100904688608
4,d6ea1074-f1f5-11e9-9346-000d3a38a36f,Desktop,Desktop,2019-08-03,2021-03-07,2021-03-07,2019-08-03,1.0,1.0,49.99,159.99,[AKTIFSPOR],10.82,41.618784608331644
5,e585280e-aae1-11e9-a2fc-000d3a38a36f,Desktop,Offline,2018-11-18,2021-03-13,2018-11-18,2021-03-13,1.0,2.0,150.87,49.99,[KADIN],7.12,13.71118002852274
6,c445e4ee-6242-11ea-9d1a-000d3a38a36f,Android App,Android App,2020-03-04,2020-10-18,2020-10-18,2020-03-04,3.0,1.0,59.99,315.94,[AKTIFSPOR],49.46,104.36468589690841
7,3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,Mobile,Offline,2020-05-15,2020-08-12,2020-05-15,2020-08-12,1.0,1.0,49.99,113.64,[COCUK],55.16,88.57588445017878
8,cfbda69e-5b4f-11ea-aca7-000d3a38a36f,Android App,Android App,2020-01-23,2021-03-07,2021-03-07,2020-01-25,3.0,2.0,120.48,934.21,"[ERKEK, COCUK, KADIN]",77.36,33.80711594215306
9,1143f032-440d-11ea-8b43-000d3a38a36f,Mobile,Mobile,2019-07-30,2020-10-04,2020-10-04,2019-07-30,1.0,1.0,69.98,95.98,"[KADIN, AKTIFSPOR]",11.52,23.12869131451612
10,ae608ece-c9d8-11ea-a31e-000d3a38a36f,Ios App,Offline,2020-07-19,2020-07-25,2020-07-19,2020-07-25,1.0,1.0,74.99,39.99,"[AKTIFCOCUK, COCUK, KADIN]",574.9,1800.4574910849283
11,c2e15af2-9eed-11e9-9897-000d3a38a36f,Android App,Android App,2015-07-05,2021-05-19,2021-05-19,2020-07-10,19.0,1.0,90.49,2771.11,"[COCUK, KADIN, AKTIFSPOR]",40.02,23.188128109259946
12,2854f11a-0185-11ea-a5e8-000d3a38a36f,Mobile,Offline,2019-11-07,2021-04-14,2020-11-02,2021-04-14,2.0,2.0,179.98,132.47,"[ERKEK, AKTIFSPOR]",17.89,40.835042902865794
13,ec6c382a-3e97-11ea-a823-000d3a38a36f,Android App,Android App,2019-07-14,2021-01-05,2021-01-05,2019-09-20,1.0,3.0,457.8,99.99,[AKTIFSPOR],30.93,52.99708946031943
14,241f0ad0-afb5-11e9-9757-000d3a38a36f,Ios App,Ios App,2018-12-28,2021-05-30,2021-05-30,2019-10-20,23.0,1.0,139.0,4274.29,"[ERKEK, AKTIFSPOR]",109.85,127.23015269140636
15,13ed97a4-b167-11e9-89fa-000d3a38a36f,Mobile,Desktop,2019-06-13,2020-08-17,2020-08-17,2020-07-28,7.0,1.0,112.97,819.39,"[AKTIFCOCUK, COCUK, KADIN]",64.9,48.93629290337577
16,d9b77226-a509-11e9-a2fc-000d3a38a36f,Mobile,Offline,2019-02-03,2020-11-11,2019-02-03,2020-11-11,1.0,4.0,400.45,94.8,[COCUK],22.96,6.773299231051991
17,efb82ba4-aaba-11e9-a2fc-000d3a38a36f,Ios App,Ios App,2019-07-10,2021-01-20,2021-01-20,2019-07-10,2.0,2.0,428.97,459.89,"[ERKEK, AKTIFSPOR]",47.62,51.29127970076043
18,1ee5ae66-7237-11eb-aa44-000d3a38a36f,Android App,Android App,2021-02-17,2021-04-11,2021-04-11,2021-02-17,1.0,1.0,59.99,207.13,"[AKTIFCOCUK, COCUK, AKTIFSPOR]",151.2,211.16826411247519
19,2730793e-3908-11ea-85d6-000d3a38a36f,Mobile,Mobile,2019-07-29,2020-06-19,2020-06-19,2019-07-29,1.0,1.0,34.99,279.99,[ERKEK],28.99,5.8886261637830115
20,4da5c2ba-403b-11ea-aa6b-000d3a38a36f,Android App,Android App,2019-09-05,2021-01-24,2021-01-24,2019-09-05,1.0,1.0,49.98,59.99,[KADIN],6.51,11.049881435762718
21,7b289956-d691-11e9-93bc-000d3a38a36f,Android App,Offline,2019-08-28,2020-11-26,2020-05-17,2020-11-26,1.0,2.0,495.69,234.98,"[ERKEK, KADIN]",48.07,16.63886792961092
